| rung | vertices | triangles | compile ms | validate ms | survey ms | skeleton bytes | b/vertex | failures |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| grid-5 | 25 | 32 | 17.55 | 4.66 | 0.56 | 9282 | 371 | none |
| grid-9 | 81 | 128 | 12.29 | 0.52 | 0.39 | 30370 | 375 | none |
| grid-17 | 289 | 512 | 11.85 | 0.94 | 0.85 | 113278 | 392 | none |
| grid-33 | 1089 | 2048 | 17.82 | 1.68 | 1.04 | 445865 | 409 | none |
| grid-65 | 4225 | 8192 | 19.58 | 5.01 | 3.57 | 1795180 | 425 | none |
| grid-97 | 9409 | 18432 | 21.23 | 10.01 | 5.64 | 4115553 | 437 | none |
| grid-129 | 16641 | 32768 | 28.98 | 15.28 | 9.72 | 7304782 | 439 | none |
| grid-181 | 32761 | 64800 | 52.31 | 28.51 | 18.28 | 14714490 | 449 | none |
| contour-8 | 16 | 14 | 178.85 | 0.37 | 0.13 | 6140 | 384 | none |
| contour-4 | 20 | 18 | 38.54 | 0.30 | 0.09 | 7461 | 373 | none |
| contour-2 | 32 | 30 | 23.25 | 0.34 | 0.10 | 11420 | 357 | none |
| contour-1 | 68 | 66 | 24.07 | 0.35 | 0.10 | 23086 | 340 | none |
| contour-0.5 | 668 | 666 | 95.21 | 0.77 | 0.41 | 216387 | 324 | none |
| contour-0.25 | 868 | 866 | 112.49 | 2.99 | 0.48 | 278934 | 321 | none |
