| rung | vertices | z min | z max | span of zScale | smallest triangle px² | median triangle px² |
| --- | --- | --- | --- | --- | --- | --- |
| grid-5 | 25 | -0.00 | 60.00 | 100.0 % | 5.00e+3 | 5000.000 |
| grid-9 | 81 | -0.00 | 60.00 | 100.0 % | 1.25e+3 | 1250.000 |
| grid-17 | 289 | -0.00 | 60.00 | 100.0 % | 3.13e+2 | 312.500 |
| grid-33 | 1089 | -0.00 | 60.00 | 100.0 % | 7.81e+1 | 78.125 |
| grid-65 | 4225 | -0.00 | 60.00 | 100.0 % | 1.95e+1 | 19.531 |
| grid-97 | 9409 | -0.00 | 60.00 | 100.0 % | 8.68e+0 | 8.681 |
| grid-129 | 16641 | -0.00 | 60.00 | 100.0 % | 4.88e+0 | 4.883 |
| grid-181 | 32761 | -0.00 | 60.00 | 100.0 % | 2.47e+0 | 2.469 |
| contour-8 | 16 | 15.86 | 16.16 | 0.5 % | 1.07e+3 | 9148.802 |
| contour-4 | 20 | 19.84 | 19.98 | 0.2 % | 3.77e+2 | 4134.648 |
| contour-2 | 32 | 21.49 | 21.64 | 0.3 % | 1.28e+2 | 4026.183 |
| contour-1 | 68 | 22.25 | 23.31 | 1.8 % | 3.00e+0 | 437.973 |
| contour-0.5 | 668 | 21.94 | 23.22 | 2.1 % | 1.18e-1 | 66.000 |
| contour-0.25 | 868 | 21.94 | 23.18 | 2.1 % | 5.00e-1 | 53.500 |
