| rung | vertices | dome: last | dome predicted | cosine: last | cosine predicted | flat: last |
| --- | --- | --- | --- | --- | --- | --- |
| grid-5 | 25 | 62 | 59.0° | 73 | 64.8° | 90 |
| grid-9 | 81 | 51 | 49.7° | 66 | 64.8° | 90 |
| grid-17 | 289 | 41 | 39.8° | 65 | 64.8° | 90 |
| grid-33 | 1089 | 31 | 30.5° | 64 | 64.8° | 90 |
| grid-65 | 4225 | 23 | 22.6° | 64 | 64.8° | 90 |
| grid-97 | 9409 | 20 | 18.8° | 64 | 64.8° | 90 |
| grid-129 | 16641 | 17 | 16.4° | 64 | 64.8° | 90 |
| grid-181 | 32761 | 14 | 14.0° | 63 | 64.8° | 90 |
| contour-8 | 16 | 89 | — | 90 | 64.8° | 90 |
| contour-4 | 20 | 89 | — | 90 | 64.8° | 90 |
| contour-2 | 32 | 89 | — | 89 | 64.8° | 90 |
| contour-1 | 68 | 47 | — | 78 | 64.8° | 90 |
| contour-0.5 | 668 | — | — | 3 | 64.8° | 90 |
| contour-0.25 | 868 | — | — | 3 | 64.8° | 90 |
