# noise probe — bit-depth utilisation — one surface, seven encodings

part 400x400, raised cosine of radius 200 px, seed 20260905, continuous closed form 64.77° at peak 255 / zScale 60
invocation: bun bench/studies/2026-09-05-noise/tools/noiseprobe.ts <workdir> --experiment=amplitude

`zScale` rises as the peak level falls, so every row describes the SAME physical surface.

| peak level | zScale | lattice | levels per cell | 8-bit ° | unquantised ° | closed form ° | cost ° | one-level bound ° |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 255 | 60.00 | grid-33 | 25.03 | 64.80 | 64.89 | 64.77 | 0.10 | 88.92 |
| 128 | 119.53 | grid-33 | 12.57 | 64.89 | 64.89 | 64.77 | 0.01 | 87.85 |
| 64 | 239.06 | grid-33 | 6.28 | 64.01 | 64.89 | 64.77 | 0.88 | 85.71 |
| 32 | 478.13 | grid-33 | 3.14 | 62.30 | 64.89 | 64.77 | 2.59 | 81.47 |
| 16 | 956.25 | grid-33 | 1.57 | 59.04 | 64.89 | 64.77 | 5.86 | 73.30 |
| 8 | 1912.50 | grid-33 | 0.79 | 59.04 | 64.89 | 64.77 | 5.86 | 59.04 |
| 4 | 3825.00 | grid-33 | 0.39 | 39.81 | 64.89 | 64.77 | 25.09 | 39.81 |
| 255 | 60.00 | grid-65 | 12.52 | 64.58 | 64.80 | 64.77 | 0.22 | 87.84 |
| 128 | 119.53 | grid-65 | 6.28 | 64.89 | 64.80 | 64.77 | -0.09 | 85.71 |
| 64 | 239.06 | grid-65 | 3.14 | 62.30 | 64.80 | 64.77 | 2.50 | 81.47 |
| 32 | 478.13 | grid-65 | 1.57 | 59.04 | 64.80 | 64.77 | 5.76 | 73.30 |
| 16 | 956.25 | grid-65 | 0.79 | 59.04 | 64.80 | 64.77 | 5.76 | 59.04 |
| 8 | 1912.50 | grid-65 | 0.39 | 39.81 | 64.80 | 64.77 | 24.99 | 39.81 |
| 4 | 3825.00 | grid-65 | 0.20 | 22.62 | 64.80 | 64.77 | 42.18 | 22.62 |
| 255 | 60.00 | grid-129 | 6.26 | 63.06 | 64.77 | 64.77 | 1.72 | 85.69 |
| 128 | 119.53 | grid-129 | 3.14 | 64.89 | 64.77 | 64.77 | -0.11 | 81.47 |
| 64 | 239.06 | grid-129 | 1.57 | 57.48 | 64.77 | 64.77 | 7.29 | 73.30 |
| 32 | 478.13 | grid-129 | 0.79 | 59.04 | 64.77 | 64.77 | 5.74 | 59.04 |
| 16 | 956.25 | grid-129 | 0.39 | 39.81 | 64.77 | 64.77 | 24.97 | 39.81 |
| 8 | 1912.50 | grid-129 | 0.20 | 22.62 | 64.77 | 64.77 | 42.15 | 22.62 |
| 4 | 3825.00 | grid-129 | 0.10 | 11.77 | 64.77 | 64.77 | 53.01 | 11.77 |
