# noise probe — 8-bit quantisation against mesh density

part 400x400, raised cosine of radius 200 px, seed 20260905, continuous closed form 64.77° at peak 255 / zScale 60
invocation: bun bench/studies/2026-09-05-noise/tools/noiseprobe.ts <workdir> --experiment=quant

steepest adjacent-texel step 3 levels ⇒ predicted saturation floor atan(255 / (60 × 3)) = 54.78°

| lattice | cell h px | vertices | 8-bit ° | unquantised ° | closed form ° | 8-bit − unquantised | one-level bound ° | texel-step floor ° |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| grid-5 | 100.000 | 25 | 73.15 | 73.18 | 64.77 | -0.03 | 89.87 | 54.78 |
| grid-9 | 50.000 | 81 | 66.87 | 66.94 | 64.77 | -0.07 | 89.73 | 54.78 |
| grid-17 | 25.000 | 289 | 65.35 | 65.30 | 64.77 | 0.05 | 89.46 | 54.78 |
| grid-33 | 12.500 | 1089 | 64.80 | 64.89 | 64.77 | -0.10 | 88.92 | 54.78 |
| grid-65 | 6.250 | 4225 | 64.58 | 64.80 | 64.77 | -0.22 | 87.84 | 54.78 |
| grid-97 | 4.167 | 9409 | 63.49 | 64.78 | 64.77 | -1.29 | 86.77 | 54.78 |
| grid-129 | 3.125 | 16641 | 63.06 | 64.77 | 64.77 | -1.72 | 85.69 | 54.78 |
| grid-181 | 2.222 | 32761 | 62.37 | 64.77 | 64.77 | -2.40 | 83.96 | 54.78 |
| grid-257 | 1.563 | 66049 | 61.37 | 64.77 | 64.77 | -3.40 | 81.44 | 54.78 |
| grid-401 | 1.000 | 160801 | 62.10 | 64.77 | 64.77 | -2.67 | 76.76 | 54.78 |
| grid-577 | 0.694 | 332929 | 56.57 | 64.77 | 64.77 | -8.20 | 71.28 | 54.78 |
| grid-801 | 0.500 | 641601 | 54.78 | 64.77 | 64.77 | -9.99 | 64.80 | 54.78 |
| band-4px | 4.000 | 33 | 64.11 | 64.78 | 64.77 | -0.67 | 86.63 | 54.78 |
| band-2px | 2.000 | 63 | 63.43 | 64.77 | 64.77 | -1.34 | 83.29 | 54.78 |
| band-1px | 1.000 | 123 | 62.10 | 64.77 | 64.77 | -2.67 | 76.76 | 54.78 |
| band-0.5px | 0.500 | 243 | 59.53 | 64.77 | 64.77 | -5.24 | 64.80 | 54.78 |
| band-0.25px | 0.250 | 483 | 59.53 | 64.77 | 64.77 | -5.24 | 46.74 | 54.78 |
| band-0.125px | 0.125 | 963 | 59.53 | 64.77 | 64.77 | -5.24 | 27.98 | 54.78 |
| band-0.0625px | 0.063 | 1923 | 59.53 | 64.77 | 64.77 | -5.24 | 14.88 | 54.78 |
