example,file,spineVersion,constraintShape,transformShape,boneCount,slotCount,skinCount,skinNames,nonDefaultSkinExists,animationCount,animationNames,att_region,att_mesh,att_linkedmesh,att_mesh_withSource,att_boundingbox,att_path,att_point,att_clipping,mesh_weighted,mesh_unweighted,mesh_vertexTotal,mesh_triangleTotal,ikCount,ik_multiBone,transformCount,pathCount,physicsCount,sliderCount,curve_linear,curve_stepped,curve_bezier,bezier_arrayLengths,eventDefCount,atlas_fileCount,atlas_pageCount,atlas_regionCount,atlas_regionShapes,atlas_region_rotated,animation_color_present,atlas_filterValues,atlas_pma_any,atlas_region_withIndex,atlas_region_withPad,atlas_region_withSplit,atlas_scaleValues,atlas_sizeValues,att_color,att_region_rotated,att_withSequence,audio,audio_present,bone_color,bone_icon,bone_inherit_breakdown_noRotationOrReflection,bone_inherit_breakdown_noScale,bone_inherit_breakdown_onlyTranslation,bone_inherit_nonNormal,bone_length_nonzero,bone_scale_nonUnit,bone_shear_nonzero,bone_skinRequired,deform_keys,drawOrder_keys,event_hasAudio,event_hasBalance,event_hasFloat,event_hasInt,event_hasString,event_hasVolume,event_keys,fps,hash_present,height_present,images,images_present,legacyConstraintArraysPresent,mesh_hasEdges,mesh_hasHull,mesh_maxTrianglesInOne,mesh_maxVerticesInOne,referenceScale_present,skin_color,skin_hasBones,skin_hasConstraints,slot_attachment_set,slot_blend_breakdown_additive,slot_blend_breakdown_multiply,slot_blend_nonNormal,slot_color,slot_dark,slot_visible_false,tl_attachment,tl_attachment_keys,tl_deform,tl_drawOrder,tl_events,tl_ik,tl_ik_keys,tl_physics_damping,tl_physics_damping_keys,tl_physics_inertia,tl_physics_inertia_keys,tl_physics_mass,tl_physics_mass_keys,tl_physics_mix,tl_physics_mix_keys,tl_physics_strength,tl_physics_strength_keys,tl_physics_wind,tl_physics_wind_keys,tl_rgba,tl_rgba_keys,tl_rotate,tl_rotate_keys,tl_scale,tl_scale_keys,tl_shear,tl_shear_keys,tl_transform,tl_transform_keys,tl_translate,tl_translate_keys,tl_translatex,tl_translatex_keys,tl_translatey,tl_translatey_keys,unknownAttachmentKeys,unknownBoneKeys,unknownSlotKeys,unknownTopLevelKeys,width_present,x_present,y_present
1-weight-and-mass,1-weight-and-mass/1-weight-and-mass-balls-ess.json,4.3.75-beta,none,none,9,8,1,default,false,1,animation,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,1,44,4,0,1,1,13,compact,1,0,"Linear, Linear",false,0,0,0,0.5,"1024, 1024",0,0,0,,false,6,8,,,,0,0,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,8,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,4,79,,,7,134,1,1,,,3,3,3,3,4,53,,,,,true,true,true
1-weight-and-mass,1-weight-and-mass/1-weight-and-mass-drop-ess.json,4.3.75-beta,none,none,4,5,1,default,false,1,ready-to-animate,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,13,compact,1,0,"Linear, Linear",false,0,0,0,0.5,"1024, 1024",0,3,0,,false,0,0,,,,0,3,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,5,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,true
2-the-12-principles,2-the-12-principles/2-the-12-principles-ess.json,4.3.75-beta,none,none,12,17,1,default,false,4,basketball;billiard-ball;bowling-ball;tennis-ball,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,127,1010,4;8,0,1,1,15,compact,0,0,"Linear, Linear",false,0,0,0,0.4,"1024, 1024",0,0,0,,false,11,11,4,,,4,0,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,17,4,4,8,5,0,0,36,36,,,,,,,,,,,,,,,,,,4,4,14,240,3,175,1,2,,,4,220,5,322,5,360,,,,,true,true,true
3-timing-and-spacing,3-timing-and-spacing/3-timing-and-spacing-ess.json,4.3.75-beta,none,none,3,2,1,default,false,2,heavy;light,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,4,0,1,1,2,compact,0,0,"Linear, Linear",false,0,0,0,0.5,"512, 128",0,1,0,,false,0,0,,,,0,1,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,2,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,2,11,2,15,,,,,true,true,true
4-wave-principle,4-wave-principle/4-wave-principle-ess.json,4.3.75-beta,none,none,9,9,1,default,false,3,ball-catch;wave-by-hand;wave-offset,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,470,4,0,1,1,8,compact,0,0,"Linear, Linear",false,0,0,0,0.5,"512, 256",0,5,0,,false,7,4,1,,,1,4,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,9,1,1,2,2,0,0,7,7,,,,,,,,,,,,,,,,,,,,17,375,1,36,,,,,,,4,62,2,65,,,,,true,true,true
5-squash-and-stretch,5-squash-and-stretch/5-squash-and-stretch-ess.json,4.3.75-beta,none,none,16,13,1,default,false,3,ball;ball-ready-to-animate;speedy,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,82,1665,4;8,0,1,1,29,compact,1,0,"Linear, Linear",false,0,0,0,0.5,"2048, 512",0,27,0,,false,1,1,,,8,8,6,3,0,0,,2,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,13,,,0,0,0,0,25,86,,1,,,,,,,,,,,,,,,,1,1,14,784,7,265,,,,,3,14,8,432,8,454,,,,,true,true,true
6-arcs,6-arcs/6-arcs-pro.json,4.3.75-beta,flat-4.3,4.3-source+properties,14,4,1,default,false,1,arcs,2,2,0,0,0,0,0,0,2,0,44,40,0,0,4,0,0,0,18,7,498,4;8,0,1,1,4,compact,0,0,"Linear, Linear",false,0,0,0,0.5,"1024, 256",0,1,0,,false,7,6,,,,0,4,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,2,2,38,40,false,0,0,0,3,,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,5,340,2,4,,,,,6,105,1,40,1,49,,,,,true,true,true
7-anticipation,7-anticipation/sack-pro.json,4.3.75-beta,flat-4.3,4.3-source+properties,31,3,1,default,false,4,cape-follow-example;fall-in;hello;walk,0,3,0,0,0,0,0,0,3,0,193,230,0,0,4,0,20,0,171,62,757,4;8,0,1,1,3,compact,1,0,"Linear, Linear",false,0,0,0,0.5,"512, 512",0,0,0,,false,25,1,,3,,3,22,0,0,0,1,,0,0,0,0,0,0,,,true,true,./images/,true,,3,3,116,96,false,0,0,0,3,,,0,0,0,0,,,1,,,,,24,36,4,8,15,27,12,36,14,14,12,48,,,37,312,8,81,,,2,11,32,344,10,132,10,121,,,,,true,true,true
8-follow-through,8-follow-through/8-follow-through-pro-ball.json,4.3.75-beta,flat-4.3,4.3-source+properties,12,2,1,default,false,1,follow-through,0,2,0,0,0,0,0,0,2,0,34,30,0,0,4,0,0,0,22,5,328,4;8,0,1,1,8,compact,0,0,"Linear, Linear",false,0,0,0,0.5,"512, 256",0,0,0,,false,2,1,,,,0,4,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,2,2,28,30,false,0,0,0,2,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,246,,,,,,,3,61,1,25,1,33,,,,,true,true,true
8-follow-through,8-follow-through/8-follow-through-pro-pendulum.json,4.3.75-beta,none,none,7,6,1,default,false,1,follow-through,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,156,4,0,1,1,8,compact,0,0,"Linear, Linear",false,0,0,0,0.5,"512, 256",0,5,0,,false,5,2,,,,0,4,0,0,0,,,0,0,0,0,0,0,,,true,true,./images/,true,,0,0,0,0,false,0,0,0,6,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,6,135,,,,,,,,,1,13,1,17,,,,,true,true,true
